종목,티커,AI상승확률(%),백테스트정확도(%),외국인수급,뉴스점수,급등점수
이뮨온시아,424870.KS,33.72,56.6,0,0,34.99
차이커뮤니케이션,351870.KS,58.54,47.96,0,0,34.89
엘에스스팩1호,0041J0.KS,51.5,69.23,0,0,34.32
엠오티,413390.KS,53.7,45.45,0,0,34.18
위츠,459100.KS,29.94,55.68,0,0,34.09
더본코리아,475560.KS,49.75,54.95,0,0,33.94
KB제31호스팩,492220.KS,62.5,56.63,0,0,33.91
지에프씨생명과학,388610.KS,51.64,49.56,0,0,33.81
교보17호스팩,489210.KS,14.86,65.52,0,0,33.59
신한제14호스팩,487360.KS,56.15,55.56,0,0,32.91
뉴엔AI,463020.KS,36.13,51.16,0,0,32.72
타조이엔터테인먼트,476710.KS,29.01,96.74,0,0,32.67
디비금융제13호스팩,489730.KS,56.6,53.49,0,0,32.41
모티브링크,463480.KS,41.15,50.0,0,0,31.0
더즌,462860.KS,41.15,50.0,0,0,30.8
와이즈넛,096250.KS,38.5,52.0,0,0,30.51
원일티엔아이,136150.KS,37.5,62.96,0,0,30.4
셀로맥스사이언스,471820.KS,40.8,55.42,0,0,30.37
동국생명과학,303810.KS,29.3,52.11,0,0,30.29
에이아이코리아,364950.KS,22.5,60.71,0,0,30.18
데이원컴퍼니,373160.KS,48.33,57.33,0,0,29.71
대진첨단소재,393970.KS,10.45,59.7,0,0,29.56
제이피아이헬스케어,0010V0.KS,30.5,63.64,0,0,29.53
KB제32호스팩,0037T0.KS,55.0,55.81,0,0,29.51
엠에프씨,432980.KS,28.25,48.75,0,0,29.45
키스트론,475430.KS,32.0,52.0,0,0,29.43
에이치엔에스하이텍,044990.KS,22.95,58.23,0,0,29.26
오션스바이오,332190.KS,45.5,87.01,0,0,29.02
신한제16호스팩,496070.KS,44.96,56.0,0,0,27.87
KB발해인프라,415640.KS,19.42,43.02,0,0,26.79
씨케이솔루션,480370.KS,40.45,50.77,0,0,26.53
교보16호스팩,482520.KS,37.45,85.05,0,0,25.86
미래에셋비전스팩7호,482680.KS,10.12,58.42,0,0,25.4
유라클,088340.KS,18.32,57.55,0,0,23.93
에르코스,435570.KS,23.37,50.0,0,0,22.05
삼성스팩10호,0044K0.KS,1.5,63.64,0,0,21.39
대신밸런스제19호스팩,482690.KS,26.19,59.09,0,0,20.72
유진스팩11호,488060.KS,21.5,64.13,0,0,19.95
신한제15호스팩,487830.KS,9.6,68.54,0,0,17.11
