종목,티커,단타확률,중장기확률,단타정확도,중장기정확도,신호
우림피티에스,101170.KS,77.63,76.69,53.02,47.64,SELL
폰드그룹,472850.KS,68.75,76.6,50.68,48.57,SELL
동아엘텍,088130.KS,56.6,76.54,53.02,48.42,BUY
티에스이,131290.KS,53.09,76.49,52.24,48.99,BUY
한화손해보험,000370.KS,61.87,76.35,51.01,47.07,SELL
대보마그네틱,290670.KS,61.34,76.3,56.93,52.08,SELL
아모그린텍,125210.KS,57.99,76.11,51.29,46.89,SELL
에스피시스템스,317830.KS,63.81,75.98,56.6,42.46,SELL
HS효성,487570.KS,59.79,75.95,46.36,32.38,SELL
켈스,402420.KS,22.49,75.9,64.17,50.17,SELL
교보18호스팩,0041B0.KS,72.0,75.85,64.71,79.31,SELL
포스코인터내셔널,047050.KS,26.71,75.8,52.24,51.69,SELL
피에스케이,319660.KS,34.51,75.73,49.09,50.71,BUY
하나31호스팩,469900.KS,14.69,75.69,68.57,51.49,BUY
부스타,008470.KS,58.77,75.68,56.04,43.24,SELL
티씨케이,064760.KS,62.6,75.66,52.68,50.0,BUY
온코크로스,382150.KS,80.83,75.55,50.0,56.58,SELL
키움제11호스팩,489480.KS,12.73,75.23,57.83,52.56,SELL
잉크테크,049550.KS,73.92,75.15,55.7,66.33,SELL
제테마,216080.KS,69.08,75.08,54.59,49.23,SELL
애드바이오텍,179530.KS,39.9,75.05,53.11,58.33,SELL
레이,228670.KS,64.8,74.98,54.39,49.79,SELL
테스,095610.KS,46.09,74.87,51.23,46.28,BUY
AP위성,211270.KS,62.06,74.87,51.78,50.34,SELL
HLB생명과학,067630.KS,38.44,74.85,52.68,52.59,SELL
위드텍,348350.KS,60.21,74.84,47.8,54.33,SELL
LS에코에너지,229640.KS,64.44,74.72,50.43,50.58,SELL
금강철강,053260.KS,41.54,74.52,52.8,52.48,BUY
HC홈센타,060560.KS,36.19,74.46,59.28,46.4,SELL
대창솔루션,096350.KS,48.11,74.43,56.82,55.74,SELL
디앤디파마텍,347850.KS,70.6,74.24,46.09,60.66,SELL
팬스타엔터프라이즈,054300.KS,43.44,74.24,54.7,54.05,SELL
넥스틴,348210.KS,60.34,74.08,54.59,45.85,SELL
풍산,103140.KS,51.15,73.86,50.78,56.42,BUY
인텔리안테크,189300.KS,58.44,73.83,52.92,54.34,SELL
인바이츠바이오코아,216400.KS,60.37,73.77,57.49,61.81,SELL
엔바이오니아,317870.KS,47.14,73.52,54.64,46.83,SELL
지투지바이오,456160.KS,34.87,73.5,26.47,75.86,BUY
GKL,114090.KS,55.75,73.29,48.77,55.86,SELL
유화증권,003460.KS,26.37,73.22,56.04,47.07,BUY
프로젠,296160.KS,40.1,73.19,52.47,49.36,BUY
블루탑,191600.KS,23.68,73.02,81.4,46.9,BUY
원익홀딩스,030530.KS,67.35,72.94,53.24,51.69,SELL
프로이천,321260.KS,44.64,72.9,55.49,48.35,SELL
금호전기,001210.KS,48.93,72.72,55.26,60.02,SELL
케이쓰리아이,431190.KS,58.93,72.62,52.83,44.0,SELL
덕산테코피아,317330.KS,64.06,72.62,53.44,48.41,SELL
대주전자재료,078600.KS,53.81,72.43,50.67,51.91,BUY
이비테크,208850.KS,28.15,72.37,70.2,54.42,BUY
인천도시가스,034590.KS,29.77,72.36,60.85,49.66,BUY
넥스틸,092790.KS,45.56,72.34,52.51,40.46,SELL
누리플랜,069140.KS,74.41,72.21,52.35,51.13,SELL
아이씨티케이,456010.KS,66.06,72.21,56.0,66.67,SELL
에이엔피,015260.KS,44.12,72.2,55.26,52.93,BUY
하이로닉,149980.KS,40.48,72.17,66.11,46.85,WAIT
유니포인트,121060.KS,53.34,72.14,61.49,64.97,BUY
LG유플러스,032640.KS,59.98,72.06,54.03,52.48,SELL
CJ대한통운,000120.KS,38.86,72.06,51.45,44.03,SELL
성광벤드,014620.KS,52.0,71.97,53.58,49.77,SELL
LG화학,051910.KS,49.51,71.97,49.44,50.23,BUY
타임기술,318660.KS,23.99,71.93,58.7,45.35,SELL
휴림로봇,090710.KS,52.14,71.89,55.48,51.8,SELL
티에프이,425420.KS,53.65,71.87,46.38,47.39,SELL
쏘카,403550.KS,46.92,71.67,54.15,61.54,SELL
이원컴포텍,088290.KS,51.64,71.65,55.48,45.72,SELL
모베이스,101330.KS,67.2,71.64,49.66,52.48,SELL
뷰웍스,100120.KS,49.46,71.63,55.15,54.17,SELL
토마토시스템,393210.KS,38.82,71.46,59.62,47.27,SELL
NHN벅스,104200.KS,56.37,71.42,55.48,53.49,SELL
키움증권,039490.KS,41.94,71.29,51.68,50.45,SELL
한화,000880.KS,51.37,71.21,51.34,53.04,BUY
다보링크,340360.KS,40.12,71.19,51.0,55.96,SELL
케어젠,214370.KS,58.52,71.13,51.06,53.22,SELL
금양,001570.KS,44.12,71.11,62.86,38.74,WAIT
라이콤,388790.KS,46.61,71.1,59.57,57.23,BUY
아주IB투자,027360.KS,42.72,71.01,52.54,46.29,BUY
NHN KCP,060250.KS,42.18,70.92,54.36,49.44,SELL
원일특강,012620.KS,55.87,70.9,56.71,51.13,SELL
케이티알파,036030.KS,44.64,70.88,52.68,54.84,SELL
현대그린푸드,453340.KS,63.41,70.88,48.54,45.5,SELL
제이엠티,094970.KS,50.37,70.87,51.45,54.05,SELL
삼양식품,003230.KS,35.29,70.86,53.8,49.89,SELL
퓨쳐메디신,341170.KS,71.51,70.83,53.88,60.71,SELL
보로노이,310210.KS,53.77,70.83,45.28,53.28,BUY
브이엠,089970.KS,43.54,70.7,51.28,48.62,BUY
아이오바이오,447690.KS,34.81,70.67,64.76,61.54,BUY
코리아써키트,007810.KS,66.02,70.63,54.47,53.27,SELL
프로티아,303360.KS,15.48,70.4,52.0,46.63,SELL
마니커,027740.KS,51.24,70.28,55.15,52.03,SELL
헥토이노베이션,214180.KS,60.4,70.23,54.49,54.45,SELL
셀바이오휴먼텍,318160.KS,80.83,70.21,49.02,45.45,SELL
하이드로리튬,101670.KS,61.1,70.2,50.78,49.32,SELL
벡트,457600.KS,67.9,70.15,59.76,62.34,SELL
폴라리스AI,039980.KS,92.44,70.12,54.03,53.83,SELL
인선이엔티,060150.KS,47.26,70.05,53.24,41.89,SELL
백금T&A,046310.KS,87.62,70.04,52.01,50.23,SELL
한울반도체,320000.KS,41.97,69.83,54.68,47.41,SELL
인산가,277410.KS,51.09,69.79,50.08,50.58,SELL
강남제비스코,000860.KS,42.57,69.74,54.03,51.58,SELL
하나32호스팩,475240.KS,45.64,69.73,63.7,42.64,BUY
웨이버스,336060.KS,64.29,69.68,54.73,42.89,SELL
아이비젼웍스,469750.KS,57.63,69.6,64.08,29.9,SELL
에스엘,005850.KS,52.26,69.59,53.24,50.68,BUY
메디톡스,086900.KS,26.03,69.59,51.79,48.87,SELL
에치에프알,230240.KS,64.78,69.55,53.42,49.32,BUY
인베니아,079950.KS,78.8,69.52,54.92,59.91,SELL
드림인사이트,362990.KS,49.47,69.47,53.74,47.89,SELL
누보,332290.KS,32.13,69.43,53.33,49.57,BUY
에스씨엠생명과학,298060.KS,53.08,69.3,59.76,57.95,SELL
태원물산,001420.KS,57.2,69.21,53.8,41.67,SELL
일정실업,008500.KS,27.78,69.1,67.23,61.6,SELL
SK이터닉스,475150.KS,44.53,69.05,51.11,36.43,BUY
한창제지,009460.KS,49.38,68.92,58.72,41.55,SELL
ISC,095340.KS,75.73,68.76,52.46,54.39,BUY
키움제10호스팩,487720.KS,53.17,68.76,67.9,40.0,SELL
효성,004800.KS,58.98,68.68,50.11,58.11,SELL
아이티엠반도체,084850.KS,43.55,68.52,47.61,53.08,SELL
디알텍,214680.KS,56.79,68.51,51.07,55.89,SELL
파이버프로,368770.KS,67.64,68.44,54.32,52.05,SELL
퀀타매트릭스,317690.KS,58.35,68.36,62.53,60.86,SELL
바이넥스,053030.KS,48.35,68.22,55.03,52.03,SELL
일진다이아,081000.KS,61.14,68.17,54.7,56.19,WAIT
하림지주,003380.KS,44.06,68.08,52.85,54.7,SELL
소마젠,950200.KS,59.73,67.88,57.7,63.86,SELL
갤럭시아에스엠,011420.KS,38.3,67.88,53.02,51.58,SELL
제우스,079370.KS,38.51,67.84,56.94,46.62,SELL
고려신용정보,049720.KS,34.07,67.72,52.13,49.32,SELL
한양증권,001750.KS,47.86,67.71,51.23,54.84,SELL
대한방직,001070.KS,40.29,67.54,58.84,47.64,SELL
JB금융지주,175330.KS,53.65,67.53,49.66,52.14,SELL
제이오,418550.KS,40.25,67.51,57.14,50.24,SELL
상신브레이크,041650.KS,49.45,67.48,53.58,53.6,SELL
일신방직,003200.KS,40.0,67.46,53.58,49.32,SELL
엠로,058970.KS,41.68,67.46,54.24,50.77,SELL
대림제지,017650.KS,67.4,67.41,53.24,54.17,BUY
에스엠,041510.KS,31.07,67.34,52.13,47.3,SELL
에스엠코어,007820.KS,55.39,67.32,55.82,49.32,SELL
신한서부티엔디리츠,404990.KS,36.52,67.14,50.0,53.18,BUY
한신기계공업,011700.KS,63.71,67.13,52.01,49.77,SELL
참좋은여행,094850.KS,73.65,67.13,55.37,54.05,SELL
와이엔텍,067900.KS,41.3,67.09,51.34,50.56,SELL
덴티스,261200.KS,32.14,67.08,59.24,50.48,SELL
종근당바이오,063160.KS,42.99,67.07,54.59,46.06,SELL
나무기술,242040.KS,62.59,67.02,58.24,57.0,BUY
삼표시멘트,038500.KS,44.62,67.01,55.7,54.73,SELL
한창,005110.KS,37.83,66.97,80.54,25.11,WAIT
LG이노텍,011070.KS,40.42,66.94,53.02,47.97,BUY
삼화페인트공업,000390.KS,44.52,66.92,53.02,55.97,SELL
에쓰씨엔지니어링,023960.KS,74.86,66.86,55.15,52.36,SELL
미래컴퍼니,049950.KS,63.25,66.85,51.23,53.27,SELL
CMG제약,058820.KS,31.05,66.84,55.26,54.17,SELL
엔피씨,004250.KS,48.96,66.7,54.03,55.63,SELL
모비스,250060.KS,48.81,66.62,52.02,55.69,SELL
HD현대중공업,329180.KS,57.34,66.56,49.53,44.44,SELL
보령,003850.KS,34.97,66.55,52.57,49.77,SELL
토모큐브,475960.KS,52.99,66.55,53.33,71.76,BUY
디앤디플랫폼리츠,377190.KS,58.0,66.55,47.08,50.94,SELL
에이블씨엔씨,078520.KS,61.6,66.46,51.45,44.48,SELL
원텍,336570.KS,57.29,66.42,51.88,50.11,SELL
에스앤디,260970.KS,53.01,66.34,52.91,48.72,SELL
DH오토리드,290120.KS,60.1,66.31,49.15,56.24,BUY
대영포장,014160.KS,55.41,66.31,53.91,51.58,SELL
에스피지,058610.KS,73.69,66.3,50.11,53.15,SELL
에이비엘바이오,298380.KS,64.66,66.27,48.95,52.02,SELL
데이터스트림즈,199150.KS,34.98,66.22,58.48,46.41,SELL
텔레칩스,054450.KS,74.31,66.19,52.46,47.41,SELL
아가방컴퍼니,013990.KS,44.56,66.05,53.24,46.17,BUY
SK디스커버리,006120.KS,49.4,66.0,50.89,53.38,SELL
HDC,012630.KS,42.04,65.79,53.13,48.42,BUY
한국경제TV,039340.KS,42.09,65.78,51.9,52.93,SELL
원풍,008370.KS,36.38,65.77,53.69,51.58,SELL
롯데리츠,330590.KS,55.92,65.76,50.22,47.15,BUY
아모레퍼시픽,090430.KS,63.94,65.71,52.8,49.1,SELL
한양디지텍,078350.KS,43.65,65.62,51.9,50.11,SELL
한국선재,025550.KS,41.51,65.61,52.24,52.48,SELL
원익QnC,074600.KS,57.42,65.61,55.37,50.9,BUY
SOOP,067160.KS,60.04,65.6,55.26,50.23,SELL
바텍,043150.KS,34.02,65.56,54.03,42.23,BUY
싸이닉솔루션,234030.KS,60.0,65.5,39.53,97.3,SELL
삼성전자,005930.KS,74.49,65.48,51.23,43.58,BUY
HRS,036640.KS,47.14,65.46,55.03,54.95,SELL
웰크론,065950.KS,55.97,65.37,53.24,52.48,SELL
로킷헬스케어,376900.KS,57.93,65.33,51.85,29.17,BUY
필옵틱스,161580.KS,44.85,65.24,49.53,45.34,SELL
대동금속,020400.KS,52.49,65.22,52.91,43.13,SELL
위더스제약,330350.KS,50.44,65.2,54.26,59.51,SELL
정상제이엘에스,040420.KS,58.31,65.15,54.81,47.18,SELL
코맥스,036690.KS,48.44,65.14,76.96,28.38,WAIT
에스제이켐,217910.KS,31.13,65.1,63.11,58.3,SELL
더블유씨피,393890.KS,41.87,65.08,47.76,54.39,SELL
카이노스메드,284620.KS,5.47,65.08,65.25,43.37,WAIT
디앤씨미디어,263720.KS,44.16,65.05,51.76,46.13,SELL
