종목,티커,단타확률,중장기확률,단타정확도,중장기정확도,신호
펨트론,168360.KS,38.35,60.81,48.29,55.26,BUY
네오팜,092730.KS,41.39,60.8,54.03,50.34,SELL
클래시스,214150.KS,80.81,60.8,50.13,52.9,SELL
카카오뱅크,323410.KS,56.26,60.75,50.3,50.93,SELL
우리기술,032820.KS,42.22,60.69,52.8,55.18,BUY
켐트로닉스,089010.KS,52.98,60.65,51.68,56.19,SELL
베뉴지,019010.KS,39.78,60.63,59.84,55.07,BUY
네이처셀,007390.KS,74.95,60.6,54.81,48.54,SELL
경인전자,009140.KS,50.75,60.52,57.38,48.99,BUY
남성,004270.KS,63.79,60.52,51.79,52.59,SELL
이오테크닉스,039030.KS,55.3,60.48,51.23,52.7,BUY
NICE평가정보,030190.KS,41.07,60.47,51.34,43.58,SELL
대성에너지,117580.KS,48.49,60.45,53.58,49.66,BUY
수성웹툰,084180.KS,57.05,60.42,57.38,53.6,SELL
티엘비,356860.KS,52.27,60.42,51.85,39.78,SELL
삼성SDI,006400.KS,56.95,60.41,50.56,42.23,BUY
파마리서치,214450.KS,60.46,60.4,51.61,47.2,SELL
이화공영,001840.KS,48.39,60.39,65.1,39.19,WAIT
블루콤,033560.KS,41.85,60.38,55.93,56.87,SELL
현대오토에버,307950.KS,47.11,60.37,52.28,47.0,SELL
광동헬스바이오,086220.KS,40.34,60.33,62.47,53.69,BUY
힘스,238490.KS,72.87,60.31,58.92,59.32,SELL
피코그램,376180.KS,51.0,60.3,50.0,57.0,SELL
팜스토리,027710.KS,32.73,60.28,54.7,54.17,BUY
한창산업,079170.KS,43.77,60.24,53.13,46.73,BUY
서울보증보험,031210.KS,46.69,60.18,53.03,46.67,SELL
바이오니아,064550.KS,37.35,60.17,56.71,51.46,SELL
오션스바이오,332190.KS,45.5,60.16,87.01,50.7,SELL
씨앤투스,352700.KS,51.5,60.14,53.66,60.33,SELL
덕산네오룩스,213420.KS,54.54,60.14,52.9,46.02,SELL
대동기어,008830.KS,64.35,60.13,53.47,49.66,SELL
에코캡,128540.KS,62.59,60.08,52.08,51.92,SELL
엘오티베큠,083310.KS,68.12,60.06,52.01,49.55,SELL
디케이티,290550.KS,33.65,59.95,50.38,52.32,BUY
KZ정밀,036560.KS,40.86,59.94,53.8,51.46,SELL
화승알앤에이,378850.KS,49.54,59.9,50.56,54.52,SELL
큐리옥스바이오시스템즈,445680.KS,59.92,59.9,58.56,47.43,SELL
BGF리테일,282330.KS,37.04,59.89,54.17,53.7,SELL
아이톡시,052770.KS,31.81,59.88,65.21,63.74,SELL
신한제15호스팩,487830.KS,9.6,59.87,68.54,53.01,SELL
모두투어,080160.KS,61.52,59.87,52.46,52.82,SELL
유니테스트,086390.KS,55.01,59.85,50.22,45.95,SELL
엑시온그룹,069920.KS,59.66,59.82,54.92,55.18,SELL
이노진,344860.KS,64.74,59.82,54.59,58.23,SELL
세종메디칼,258830.KS,41.66,59.78,92.76,12.32,WAIT
SH에너지화학,002360.KS,35.64,59.78,54.03,49.89,BUY
진로발효,018120.KS,42.53,59.75,52.68,47.52,SELL
원익,032940.KS,29.82,59.75,52.68,48.31,SELL
이엠앤아이,083470.KS,39.23,59.72,58.5,65.54,SELL
LG디스플레이,034220.KS,53.46,59.65,48.88,52.36,SELL
마이크로엔엑스,448780.KS,43.99,59.64,53.07,64.41,SELL
서진오토모티브,122690.KS,51.92,59.62,54.7,53.27,SELL
HD건설기계,267270.KS,36.05,59.59,51.48,49.76,SELL
동운아나텍,094170.KS,75.26,59.57,52.05,42.84,SELL
하이젠알앤엠,160190.KS,54.39,59.56,49.57,56.76,SELL
엔지브이아이,093510.KS,50.23,59.5,52.99,57.79,BUY
한화시스템,272210.KS,51.27,59.49,50.98,52.1,BUY
휴비스,079980.KS,36.56,59.48,55.26,57.55,SELL
부광약품,003000.KS,42.57,59.48,53.58,46.73,BUY
퍼스텍,010820.KS,13.5,59.46,53.58,48.99,BUY
솔디펜스,215090.KS,27.04,59.42,89.79,88.82,SELL
코퍼스코리아,322780.KS,59.3,59.41,54.47,52.47,SELL
태경케미컬,006890.KS,56.27,59.39,48.32,48.42,BUY
한성기업,003680.KS,57.3,59.36,51.45,54.17,SELL
삼천리,004690.KS,47.43,59.36,51.23,50.79,SELL
진양제약,007370.KS,65.39,59.34,51.57,45.95,SELL
오로스테크놀로지,322310.KS,64.6,59.34,52.2,44.69,BUY
코위버,056360.KS,57.62,59.27,51.45,48.2,SELL
인화정공,101930.KS,53.1,59.26,51.23,46.96,SELL
오픈베이스,049480.KS,33.73,59.25,55.37,57.88,SELL
HLB테라퓨틱스,115450.KS,60.34,59.22,55.15,51.8,SELL
대주이엔티,114920.KS,28.17,59.17,66.78,53.72,BUY
대원제약,003220.KS,66.8,59.14,54.14,52.48,SELL
디에이테크놀로지,196490.KS,37.72,59.11,75.88,23.05,WAIT
한국정보공학,039740.KS,47.31,59.11,51.45,52.48,SELL
이노벡스,279060.KS,37.86,59.09,59.56,64.52,WAIT
에스티팜,237690.KS,43.26,59.08,51.55,50.71,SELL
SNT다이내믹스,003570.KS,47.06,59.05,46.53,52.03,SELL
금강공업,014280.KS,73.57,59.03,49.33,51.24,SELL
키이스트,054780.KS,63.93,59.0,57.61,57.32,SELL
레이언스,228850.KS,75.45,58.97,61.0,48.4,BUY
삼화네트웍스,046390.KS,84.65,58.92,51.57,54.62,SELL
BGF에코머티리얼즈,126600.KS,57.55,58.89,53.58,51.13,SELL
유안타제11호스팩,444920.KS,31.51,58.88,66.48,66.67,SELL
티비씨,033830.KS,37.72,58.88,56.6,49.89,SELL
신일전자,002700.KS,43.59,58.88,52.57,50.0,SELL
아이에스동서,010780.KS,52.01,58.85,53.69,46.28,SELL
피제이메탈,128660.KS,47.68,58.85,54.81,47.3,SELL
하이딥,365590.KS,54.33,58.78,58.24,63.61,SELL
상지건설,042940.KS,39.18,58.77,63.76,57.88,SELL
제주반도체,080220.KS,39.54,58.77,51.79,48.76,SELL
카페24,042000.KS,46.07,58.76,52.04,53.61,SELL
시알홀딩스,000480.KS,50.93,58.7,53.02,51.69,BUY
이미지스,115610.KS,83.06,58.65,52.35,52.82,SELL
지어소프트,051160.KS,39.95,58.63,55.82,56.87,SELL
KNN,058400.KS,49.13,58.59,56.82,54.17,SELL
케이씨씨,002380.KS,57.74,58.57,50.89,50.0,BUY
키다리스튜디오,020120.KS,43.77,58.52,53.69,49.1,SELL
코리아에셋투자증권,190650.KS,38.57,58.52,47.92,49.22,SELL
흥국,010240.KS,51.97,58.49,52.13,40.54,SELL
기아,000270.KS,35.98,58.45,49.44,47.3,BUY
LS,006260.KS,59.13,58.43,52.13,47.52,BUY
하나금융지주,086790.KS,29.1,58.43,53.24,48.87,SELL
현대글로비스,086280.KS,58.74,58.41,50.34,49.89,SELL
인바이오젠,101140.KS,77.04,58.4,75.95,76.01,SELL
신한제13호스팩,474930.KS,85.99,58.4,53.85,52.42,BUY
화일약품,061250.KS,60.9,58.37,55.03,56.19,SELL
비나텍,126340.KS,41.32,58.32,51.23,47.86,BUY
대한제당,001790.KS,38.33,58.3,51.01,48.54,SELL
케이씨피드,025880.KS,37.56,58.29,53.69,56.64,BUY
한화플러스제4호스팩,455310.KS,40.03,58.26,62.86,53.25,SELL
소프트캠프,258790.KS,46.47,58.22,53.64,58.53,SELL
에브리봇,270660.KS,66.79,58.22,53.75,52.41,SELL
NI스틸,008260.KS,54.26,58.18,47.76,44.14,SELL
롯데정밀화학,004000.KS,54.8,58.14,56.82,53.49,SELL
수프로,185190.KS,28.63,58.14,73.6,60.14,SELL
서원,021050.KS,48.09,58.13,51.57,53.04,BUY
신세계푸드,031440.KS,47.3,58.07,57.49,50.0,BUY
한미반도체,042700.KS,89.01,58.07,52.68,51.01,BUY
대한약품,023910.KS,48.27,58.06,54.59,56.19,SELL
제룡산업,147830.KS,49.03,58.02,50.89,45.05,SELL
STX그린로지스,465770.KS,22.32,57.98,56.07,35.12,BUY
엘컴텍,037950.KS,51.56,57.98,55.15,55.41,SELL
시노펙스,025320.KS,77.5,57.97,53.91,51.01,SELL
동화약품,000020.KS,65.14,57.95,55.59,50.45,SELL
풍강,093380.KS,52.13,57.95,53.02,49.32,SELL
유한양행,000100.KS,68.79,57.88,51.79,51.35,SELL
노루홀딩스,000320.KS,55.58,57.88,48.21,47.41,SELL
상상인,038540.KS,73.63,57.8,56.82,42.34,BUY
신라에스지,025870.KS,47.41,57.8,56.82,50.11,SELL
유비케어,032620.KS,56.36,57.78,53.36,52.03,SELL
에스켐,475660.KS,36.91,57.76,59.09,56.63,BUY
다원시스,068240.KS,44.69,57.75,52.57,48.09,SELL
신흥에스이씨,243840.KS,53.32,57.72,49.67,51.15,SELL
정다운,208140.KS,43.75,57.72,52.14,49.63,BUY
아이씨디,040910.KS,28.39,57.72,54.36,52.36,BUY
SHD,001770.KS,48.7,57.71,55.37,50.56,SELL
아이비김영,339950.KS,30.38,57.7,51.78,45.95,BUY
피엔케이피부임상연구센타,347740.KS,64.61,57.69,51.89,46.55,SELL
이엠텍,091120.KS,41.09,57.64,54.03,43.81,SELL
아세아텍,050860.KS,35.19,57.63,54.25,48.76,BUY
제넥신,095700.KS,48.31,57.61,52.01,58.11,BUY
고바이오랩,348150.KS,66.35,57.6,61.1,62.96,SELL
선진,136490.KS,47.56,57.58,55.15,56.87,SELL
파인엠텍,441270.KS,54.59,57.57,50.0,43.28,SELL
OCI홀딩스,010060.KS,54.57,57.56,53.13,48.31,SELL
국순당,043650.KS,39.19,57.55,56.49,49.1,SELL
HD현대일렉트릭,267260.KS,55.01,57.53,48.68,47.25,SELL
엔에이치스팩30호,466910.KS,43.52,57.5,76.58,65.36,SELL
인투셀,287840.KS,31.47,57.5,52.94,15.22,SELL
삼화왕관,004450.KS,54.21,57.42,51.57,55.86,SELL
노바텍,285490.KS,42.49,57.41,55.24,50.47,SELL
엘디티,096870.KS,44.62,57.4,56.04,48.99,SELL
LK삼양,225190.KS,43.34,57.39,51.41,52.85,SELL
현대자동차,005380.KS,45.87,57.39,52.01,47.75,BUY
메타바이오메드,059210.KS,34.75,57.38,51.9,49.89,SELL
계룡건설산업,013580.KS,39.82,57.37,53.8,47.64,BUY
세림B&G,340440.KS,49.56,57.36,53.01,52.03,SELL
위닉스,044340.KS,49.16,57.35,53.24,51.8,SELL
천일고속,000650.KS,77.07,57.34,58.61,48.54,SELL
비아트론,141000.KS,56.0,57.32,53.24,49.66,BUY
파인디앤씨,049120.KS,46.64,57.27,56.04,56.76,SELL
솔루엠,248070.KS,62.38,57.27,54.08,52.49,SELL
한화플러스제5호스팩,498390.KS,45.6,57.26,62.5,35.59,BUY
교보15호스팩,465320.KS,18.88,57.26,86.08,26.32,WAIT
티플랙스,081150.KS,46.14,57.19,55.03,52.48,SELL
LIG넥스원,079550.KS,23.88,57.19,47.31,46.23,BUY
블리츠웨이엔터테인먼트,369370.KS,62.07,57.11,50.27,49.73,SELL
아이엠티,451220.KS,44.53,57.06,50.0,36.59,BUY
미래에셋비전스팩6호,478440.KS,44.89,57.05,56.78,33.93,SELL
에이치엔에스하이텍,044990.KS,22.95,57.0,58.23,51.01,SELL
효성중공업,298040.KS,49.4,57.0,50.09,49.73,BUY
헝셩그룹,900270.KS,67.14,56.99,57.33,65.22,SELL
강원랜드,035250.KS,33.6,56.99,52.68,52.82,SELL
신영와코루,005800.KS,65.12,56.99,58.61,53.83,SELL
오텍,067170.KS,43.2,56.99,53.58,53.6,SELL
HDC현대EP,089470.KS,47.97,56.98,54.25,46.28,SELL
서산,079650.KS,43.41,56.92,51.45,48.54,SELL
에스씨디,042110.KS,64.1,56.91,52.01,50.0,SELL
신라젠,215600.KS,45.47,56.89,52.08,59.88,SELL
동국홀딩스,001230.KS,51.96,56.89,54.03,54.39,BUY
TS인베스트먼트,246690.KS,53.39,56.89,52.23,60.81,BUY
노드메이슨,317860.KS,35.36,56.88,68.87,54.02,BUY
셀바스헬스케어,208370.KS,59.99,56.87,54.7,53.69,SELL
농우바이오,054050.KS,33.09,56.84,55.37,49.55,SELL
에이비온,203400.KS,45.78,56.84,56.12,54.62,SELL
데이타솔루션,263800.KS,72.89,56.82,50.72,53.96,SELL
우성,006980.KS,29.68,56.79,52.68,45.05,BUY
이스타코,015020.KS,49.15,56.77,55.26,50.79,SELL
세아베스틸지주,001430.KS,35.14,56.7,51.68,48.31,SELL
한국특강,007280.KS,36.66,56.7,56.04,56.53,SELL
조선선재,120030.KS,24.96,56.7,54.47,54.5,SELL
유니크,011320.KS,75.2,56.69,52.13,56.76,SELL
배럴,267790.KS,51.16,56.68,51.95,45.28,SELL
아이퀘스트,262840.KS,49.73,56.68,56.68,61.77,BUY
대신정보통신,020180.KS,57.54,56.68,53.69,51.69,SELL
에코마케팅,230360.KS,37.98,56.67,55.59,48.92,SELL
엘앤에프,066970.KS,52.45,56.65,51.45,51.01,SELL
포톤,208710.KS,55.31,56.61,55.38,57.88,SELL
KC코트렐,119650.KS,43.42,56.6,66.33,37.73,WAIT
액트로,290740.KS,32.71,56.59,48.08,45.39,SELL
모토닉,009680.KS,46.15,56.58,52.68,45.38,SELL
알에프텍,061040.KS,64.84,56.58,55.15,59.35,BUY
진양화학,051630.KS,57.79,56.56,54.7,50.45,SELL
일진전기,103590.KS,57.71,56.55,50.45,48.76,BUY
비엠티,086670.KS,43.23,56.55,53.91,46.62,SELL
미창석유공업,003650.KS,46.81,56.54,52.68,48.31,BUY
아바텍,149950.KS,48.39,56.52,53.13,57.32,SELL
한국항공우주,047810.KS,41.93,56.51,49.11,45.05,BUY
아이티아이즈,372800.KS,37.66,56.51,58.84,62.3,SELL
한컴위드,054920.KS,50.97,56.49,50.89,55.41,SELL
퍼시스,016800.KS,65.19,56.47,53.24,51.24,SELL
디와이피엔에프,104460.KS,42.47,56.46,51.12,51.24,SELL
시공테크,020710.KS,50.28,56.46,56.15,55.74,SELL
앱튼,270520.KS,57.09,56.45,54.75,43.83,SELL
코나솔,176590.KS,44.44,56.42,58.05,57.09,SELL
파인디지털,038950.KS,47.03,56.4,54.59,56.76,BUY
위츠,459100.KS,29.94,56.37,55.68,46.34,SELL
지란지교시큐리티,208350.KS,57.24,56.36,51.22,56.53,SELL
동성화인텍,033500.KS,41.12,56.34,53.02,50.0,SELL
CJ 바이오사이언스,311690.KS,36.77,56.34,54.0,41.67,SELL
엠에프씨,432980.KS,28.25,56.33,48.75,60.0,SELL
아스트,067390.KS,44.19,56.31,49.76,50.37,BUY
티피씨글로벌,130740.KS,54.74,56.29,53.58,49.55,SELL
픽셀플러스,087600.KS,45.08,56.27,55.61,54.11,SELL
중앙첨단소재,051980.KS,43.62,56.25,56.15,50.9,SELL
콜마홀딩스,024720.KS,28.38,56.25,54.47,52.59,SELL
유나이티드,033270.KS,34.6,56.23,52.35,57.77,SELL
에쎈테크,043340.KS,51.3,56.18,53.36,46.62,BUY
휴스틸,005010.KS,61.19,56.17,53.47,48.99,SELL
디씨엠,024090.KS,52.94,56.17,53.58,49.21,BUY
지니언스,263860.KS,96.74,56.17,54.24,46.45,SELL
이니텍,053350.KS,47.26,56.15,50.56,50.9,SELL
동일산업,004890.KS,44.16,56.14,56.82,51.8,SELL
피엔티엠에스,257370.KS,27.93,56.13,72.61,70.45,SELL
현대차증권,001500.KS,39.86,56.11,53.13,55.41,BUY
한국토지신탁,034830.KS,26.29,56.09,53.13,51.46,BUY
서울옥션,063170.KS,39.32,56.07,54.03,56.53,SELL
엣지파운드리,105550.KS,33.58,56.07,52.58,54.02,SELL
인콘,083640.KS,58.1,56.05,57.72,57.09,SELL
윙입푸드,900340.KS,69.15,56.03,57.39,57.55,SELL
KB제31호스팩,492220.KS,62.5,56.02,56.63,49.35,BUY
플랜티넷,075130.KS,57.54,56.01,52.13,55.63,SELL
엘에스일렉트릭,010120.KS,51.79,56.0,48.43,50.11,BUY
한국타이어앤테크놀로지,161390.KS,50.97,55.99,51.57,46.62,SELL
유엔젤,072130.KS,51.16,55.98,53.13,57.09,SELL
석경에이티,357550.KS,39.22,55.95,56.12,44.86,SELL
하이브,352820.KS,47.56,55.95,51.03,48.57,SELL
에스아이리소스,065420.KS,51.36,55.94,51.57,49.77,SELL
국일신동,060480.KS,60.98,55.94,52.26,53.94,SELL
링크제니시스,219420.KS,74.77,55.92,55.14,53.17,SELL
대창,012800.KS,46.35,55.89,54.14,51.91,SELL
탑런토탈솔루션,336680.KS,45.56,55.88,57.61,52.33,SELL
삼보산업,009620.KS,40.6,55.87,54.81,55.74,SELL
오브젠,417860.KS,35.56,55.86,56.11,62.33,SELL
동방선기,099410.KS,37.46,55.85,52.46,49.1,SELL
이성씨엔아이,379390.KS,17.67,55.81,76.68,52.52,SELL
엔솔바이오사이언스,140610.KS,51.19,55.81,55.41,47.68,SELL
일성건설,013360.KS,31.8,55.76,57.27,52.14,SELL
티로보틱스,117730.KS,55.54,55.75,53.69,47.04,SELL
한국카본,017960.KS,43.39,55.73,53.36,50.23,BUY
파워넷,037030.KS,51.69,55.71,55.14,51.43,SELL
경농,002100.KS,41.12,55.69,51.45,49.1,SELL
안트로젠,065660.KS,48.54,55.66,53.27,48.7,BUY
인지소프트,100030.KS,67.31,55.62,49.78,53.72,SELL
지아이에스,306620.KS,53.21,55.6,53.46,49.91,BUY
PN풍년,024940.KS,53.93,55.58,52.13,47.52,SELL
모베이스전자,012860.KS,72.29,55.58,51.79,52.59,BUY
그린플러스,186230.KS,37.31,55.53,52.24,48.98,SELL
아나패스,123860.KS,55.92,55.51,53.8,50.9,SELL
오름테라퓨틱,475830.KS,73.52,55.5,50.7,75.76,BUY
GS피앤엘,499790.KS,68.5,55.5,45.68,41.33,SELL
엘앤케이바이오,156100.KS,51.81,55.49,53.24,56.08,SELL
인포바인,115310.KS,56.49,55.47,53.24,52.14,SELL
레이저쎌,412350.KS,34.15,55.47,55.47,57.92,BUY
핌스,347770.KS,53.81,55.47,61.01,48.59,SELL
진양폴리우레탄,010640.KS,70.07,55.46,51.45,47.64,SELL
오스템,031510.KS,44.09,55.45,55.93,48.2,BUY
휴메딕스,200670.KS,43.71,55.45,52.69,42.73,SELL
YG PLUS,037270.KS,46.51,55.43,53.91,52.7,SELL
슈프리마,236200.KS,42.53,55.4,53.06,48.7,SELL
지아이텍,382480.KS,56.67,55.39,52.7,46.93,SELL
차백신연구소,261780.KS,64.27,55.36,54.6,57.93,SELL
뉴프렉스,085670.KS,44.45,55.35,52.68,51.8,SELL
DB증권,016610.KS,45.67,55.33,50.89,44.59,SELL
아이엠,101390.KS,37.65,55.3,64.65,37.16,WAIT
신원,009270.KS,62.69,55.29,52.24,44.14,SELL
대원,007680.KS,47.62,55.28,51.58,56.04,BUY
쿠쿠홀딩스,192400.KS,48.56,55.26,55.32,54.4,SELL
SK오션플랜트,100090.KS,46.25,55.25,52.24,54.39,SELL
미래에셋벤처투자,100790.KS,23.78,55.2,51.57,52.99,SELL
파수,150900.KS,58.49,55.19,56.38,59.68,SELL
퓨쳐켐,220100.KS,61.68,55.18,56.03,54.51,SELL
하이트진로,000080.KS,47.33,55.16,53.58,55.41,SELL
두산,000150.KS,51.36,55.15,51.57,46.06,BUY
디이엔티,079810.KS,40.13,55.15,52.8,49.21,SELL
엠젠솔루션,032790.KS,26.74,55.14,58.28,60.14,SELL
테크윙,089030.KS,49.05,55.14,52.24,48.87,BUY
서전기전,189860.KS,43.4,55.14,55.01,51.85,SELL
삼진제약,005500.KS,39.75,55.13,51.45,52.48,SELL
KC그린홀딩스,009440.KS,44.02,55.12,63.87,36.26,WAIT
티쓰리,204610.KS,7.5,55.11,49.79,36.52,BUY
JYP Ent.,035900.KS,55.42,55.11,51.12,51.13,SELL
롯데지주,004990.KS,34.02,55.1,53.91,56.98,SELL
대덕전자,353200.KS,45.17,55.09,48.1,51.81,SELL
리가켐바이오,141080.KS,62.49,55.02,52.91,48.54,BUY
유비온,084440.KS,47.97,55.0,56.32,51.99,SELL
쎄니트,037760.KS,54.66,54.99,55.93,45.95,BUY
일진홀딩스,015860.KS,63.27,54.97,53.47,50.68,BUY
리드코프,012700.KS,59.06,54.95,56.71,51.46,SELL
대웅,003090.KS,62.7,54.93,52.57,48.31,SELL
대한광통신,010170.KS,42.1,54.93,54.36,50.45,BUY
잉글우드랩,950140.KS,50.94,54.93,51.09,45.07,SELL
프로브잇,227100.KS,38.28,54.93,77.82,27.95,WAIT
티사이언티픽,057680.KS,56.49,54.91,55.82,54.39,SELL
DS단석,017860.KS,47.56,54.91,51.95,48.65,SELL
피앤에스로보틱스,460940.KS,86.0,54.9,57.27,34.62,SELL
로보스타,090360.KS,62.78,54.89,54.59,55.29,SELL
대명에너지,389260.KS,42.54,54.88,53.85,40.82,SELL
예림당,036000.KS,39.71,54.87,52.8,54.17,SELL
플래티어,367000.KS,34.85,54.86,54.57,53.87,SELL
현대이지웰,090850.KS,32.64,54.86,58.47,50.06,BUY
옵티시스,109080.KS,46.55,54.85,52.57,58.0,SELL
현대건설,000720.KS,59.12,54.85,55.37,55.41,BUY
포인트모바일,318020.KS,47.45,54.85,55.0,56.42,SELL
HL홀딩스,060980.KS,36.78,54.83,50.67,53.38,SELL
세진티에스,067770.KS,48.19,54.81,56.6,55.18,SELL
유비벨록스,089850.KS,54.89,54.79,55.03,49.55,SELL
아이티센글로벌,124500.KS,51.56,54.76,51.45,46.96,BUY
SCL사이언스,246960.KS,76.96,54.73,52.13,55.1,SELL
에스디시스템,121890.KS,48.88,54.72,68.46,68.92,SELL
라파스,214260.KS,54.48,54.69,54.03,62.03,SELL
NICE,034310.KS,47.59,54.67,54.14,47.97,SELL
나이스정보통신,036800.KS,53.54,54.67,54.7,55.97,BUY
HD한국조선해양,009540.KS,35.2,54.63,51.12,42.34,SELL
NH투자증권,005940.KS,34.7,54.6,50.0,52.14,BUY
윈하이텍,192390.KS,50.57,54.59,55.01,51.84,SELL
에프엔씨엔터,173940.KS,43.15,54.56,55.84,57.48,SELL
디티앤씨알오,383930.KS,44.43,54.55,51.9,61.04,SELL
프롬바이오,377220.KS,71.03,54.54,54.37,64.97,SELL
삼성화재해상보험,000810.KS,48.5,54.52,53.24,51.58,SELL
넥센타이어,002350.KS,54.22,54.52,53.8,54.05,SELL
엔비티,236810.KS,51.55,54.49,56.49,58.9,SELL
동일제강,002690.KS,61.15,54.46,53.02,51.98,SELL
에코플라스틱,038110.KS,49.78,54.46,54.25,49.21,SELL
싸이버원,356890.KS,37.33,54.46,55.4,53.52,SELL
오스테오닉,226400.KS,47.34,54.44,50.97,48.74,SELL
디아이씨,092200.KS,65.24,54.41,52.57,51.01,SELL
현우산업,092300.KS,52.76,54.36,52.24,55.29,SELL
빅텍,065450.KS,29.07,54.35,54.7,54.95,BUY
스맥,099440.KS,86.34,54.35,53.8,53.27,SELL
알로이스,297570.KS,38.35,54.33,54.77,59.2,BUY
인크레더블버즈,064090.KS,34.53,54.33,50.11,49.77,SELL
한컴라이프케어,372910.KS,68.83,54.31,51.83,55.9,SELL
소노스퀘어,007720.KS,26.84,54.31,57.16,46.28,SELL
원익머트리얼즈,104830.KS,32.45,54.28,53.69,48.65,BUY
파트론,091700.KS,30.54,54.28,55.7,51.01,BUY
대웅제약,069620.KS,43.3,54.26,55.48,46.96,SELL
아이빔테크놀로지,460470.KS,67.72,54.26,51.85,39.81,SELL
한전기술,052690.KS,49.08,54.26,49.66,44.14,BUY
덕성,004830.KS,45.04,54.25,53.47,60.36,SELL
스마트레이더시스템,424960.KS,60.23,54.25,56.42,48.55,SELL
현대제철,004020.KS,40.29,54.23,51.79,49.77,BUY
신영스팩10호,472220.KS,32.28,54.22,62.07,61.15,SELL
포메탈,119500.KS,70.91,54.21,52.68,55.63,SELL
유비쿼스,264450.KS,47.7,54.21,54.92,47.6,SELL
월덱스,101160.KS,45.58,54.18,49.66,49.1,BUY
명문제약,017180.KS,39.15,54.17,52.8,52.36,SELL
남선알미늄,008350.KS,40.52,54.14,53.69,59.23,SELL
교보증권,030610.KS,37.86,54.11,52.68,51.35,SELL
신풍제약,019170.KS,67.95,54.08,51.79,48.54,SELL
한국주강,025890.KS,40.56,54.08,54.25,53.49,SELL
TYM,002900.KS,74.68,54.06,54.14,50.68,SELL
한국정보통신,025770.KS,54.01,54.03,54.14,57.32,SELL
씨유메디칼,115480.KS,50.29,54.03,54.25,52.82,SELL
케이엠더블유,032500.KS,48.95,54.02,52.24,50.56,SELL
한국전자인증,041460.KS,40.03,54.0,52.91,50.11,SELL
세보엠이씨,011560.KS,45.4,54.0,51.68,58.45,BUY
광무,029480.KS,29.54,53.98,57.49,51.46,SELL
GS글로벌,001250.KS,51.5,53.97,53.91,56.19,BUY
동원금속,018500.KS,38.48,53.93,50.34,55.52,SELL
성우하이텍,015750.KS,49.7,53.92,51.23,48.99,SELL
디케이락,105740.KS,50.21,53.91,53.58,54.05,SELL
젠큐릭스,229000.KS,33.14,53.9,58.33,53.2,BUY
한국가스공사,036460.KS,47.06,53.9,49.55,55.29,SELL
큐브엔터,182360.KS,63.48,53.89,53.02,46.73,SELL
이글벳,044960.KS,69.36,53.88,51.79,48.2,SELL
하이스틸,071090.KS,51.98,53.87,54.92,55.74,SELL
광진실업,026910.KS,61.66,53.87,53.58,44.14,SELL
이지케어텍,099750.KS,46.85,53.84,52.27,49.5,SELL
삼일기업공사,002290.KS,45.16,53.83,52.91,47.75,SELL
현대백화점,069960.KS,79.56,53.83,51.34,48.99,SELL
한일사료,005860.KS,29.31,53.83,51.01,53.94,BUY
서울평가정보,036120.KS,38.13,53.82,55.93,55.74,BUY
현대엘리베이터,017800.KS,55.18,53.81,47.99,45.61,SELL
형지엘리트,093240.KS,74.64,53.8,52.46,50.9,SELL
한국공항,005430.KS,56.87,53.79,52.68,47.64,SELL
서호전기,065710.KS,46.45,53.78,51.23,54.62,SELL
중앙백신,072020.KS,55.23,53.78,54.7,56.31,SELL
동서,026960.KS,53.7,53.76,54.14,48.09,SELL
카프로,006380.KS,46.36,53.71,79.31,30.97,WAIT
GST,083450.KS,54.79,53.71,53.47,50.68,BUY
사람인,143240.KS,48.46,53.69,54.92,48.65,SELL
알서포트,131370.KS,45.59,53.65,53.47,52.14,SELL
이노인스트루먼트,215790.KS,60.6,53.64,54.36,57.12,SELL
성창오토텍,080470.KS,48.05,53.61,53.47,45.83,SELL
녹십자홀딩스,005250.KS,51.97,53.58,49.55,50.68,SELL
썬테크,217320.KS,18.86,53.58,71.5,56.8,BUY
YW,051390.KS,55.37,53.57,51.01,49.1,BUY
로보로보,215100.KS,56.3,53.57,54.79,52.72,SELL
영화테크,265560.KS,54.9,53.55,54.52,51.74,SELL
솔본,035610.KS,39.59,53.54,51.34,50.9,SELL
신테카바이오,226330.KS,42.68,53.54,60.53,53.36,SELL
비츠로테크,042370.KS,65.96,53.53,52.8,53.27,SELL
성문전자,014910.KS,62.4,53.52,53.58,52.82,SELL
경남스틸,039240.KS,38.87,53.51,51.23,48.99,SELL
네오오토,212560.KS,58.14,53.49,52.6,52.14,SELL
LS증권,078020.KS,42.22,53.48,53.58,51.13,BUY
HS효성첨단소재,298050.KS,55.98,53.47,54.4,47.73,SELL
엘엠에스,073110.KS,44.04,53.46,50.89,52.14,SELL
넥스트칩,396270.KS,38.12,53.43,54.17,60.08,SELL
알톤,123750.KS,58.41,53.42,53.13,59.01,SELL
한진칼,180640.KS,39.62,53.39,49.55,50.34,SELL
엑사이엔씨,054940.KS,53.43,53.39,52.91,44.93,SELL
두산테스나,131970.KS,77.89,53.38,54.36,46.73,SELL
컴투스,078340.KS,54.87,53.37,50.89,50.11,SELL
바이오플러스,099430.KS,36.65,53.36,53.75,62.1,SELL
에스에프에이,056190.KS,59.67,53.36,51.45,53.6,SELL
