name,ticker
노브랜드,145170.KS
아이씨티케이,456010.KS
HD현대마린솔루션,443060.KS
SK증권제12호스팩,473000.KS
코칩,126730.KS
민테크,452200.KS
카티스,140430.KS
디앤디파마텍,347850.KS
유안타제16호스팩,474490.KS
제일엠앤에스,412540.KS
삐아,451250.KS
하나33호스팩,475250.KS
신한제13호스팩,474930.KS
신한제12호스팩,474660.KS
아이엠비디엑스,461030.KS
SK이터닉스,475150.KS
하나32호스팩,475240.KS
엔젤로보틱스,455900.KS
제이투케이바이오,420570.KS
삼현,437730.KS
오상헬스케어,036220.KS
케이엔알시스템,199430.KS
비엔케이제2호스팩,473370.KS
하나31호스팩,469900.KS
SK증권제11호스팩,472230.KS
유안타제15호스팩,473050.KS
유진스팩10호,468760.KS
에이피알,278470.KS
E8,418620.KS
코셈,360350.KS
케이웨더,068100.KS
사피엔반도체,452430.KS
에스피소프트,443670.KS
스튜디오삼익,415380.KS
신영스팩10호,472220.KS
폰드그룹,472850.KS
IBKS제24호스팩,469480.KS
레이저옵텍,199550.KS
이닉스,452400.KS
엘앤에프,066970.KS
포스뱅크,105760.KS
현대힘스,460930.KS
HB인베스트먼트,440290.KS
드림인사이트,362990.KS
대신밸런스제17호스팩,471050.KS
우진엔텍,457550.KS
세븐브로이맥주,267080.KS
한빛레이저,452190.KS
포스코DX,022100.KS
DS단석,017860.KS
IBKS제23호스팩,467930.KS
하나30호스팩,469880.KS
씨싸이트,109670.KS
블루엠텍,439580.KS
LS머트리얼즈,417200.KS
케이엔에스,432470.KS
교보15호스팩,465320.KS
와이바이오로직스,338840.KS
에이텀,355690.KS
엔에이치스팩30호,466910.KS
에이에스텍,453860.KS
그린리소스,402490.KS
제이엔비,452160.KS
한선엔지니어링,452280.KS
동인기연,111380.KS
에코아이,448280.KS
스톰테크,352090.KS
에코프로머티,450080.KS
캡스톤파트너스,452300.KS
프로젠,296160.KS
에스와이스틸텍,365330.KS
에이직랜드,445090.KS
한국제13호스팩,464440.KS
메가터치,446540.KS
비아이매트릭스,413640.KS
컨텍,451760.KS
큐로셀,372320.KS
쏘닉스,088280.KS
KB제27호스팩,464680.KS
세니젠,188260.KS
파라택시스이더리움,290560.KS
유진테크놀로지,240600.KS
유투바이오,221800.KS
퀄리타스반도체,432720.KS
미쥬,351020.KS
워트,396470.KS
에스엘에스바이오,246250.KS
신성에스티,416180.KS
퓨릿,445180.KS
바이오텐,289170.KS
에이치엠씨제6호스팩,462020.KS
아이엠티,451220.KS
레뷰코퍼레이션,443250.KS
두산로보틱스,454910.KS
신한제11호스팩,452980.KS
한싹,430690.KS
KT밀리의서재,418470.KS
인스웨이브,450520.KS
우듬지팜,403490.KS
코어라인소프트,384470.KS
STX그린로지스,465770.KS
상상인제4호스팩,452670.KS
율촌,146060.KS
